samples,step,time/total,time/train,time/val
8,0,3.095477689988911,3.095477689988911,0.0
16,1,5.580876367166638,5.580876367166638,0.0
24,2,8.077539837919176,8.077539837919176,0.0
32,3,10.577084350399673,10.577084350399673,0.0
40,4,13.078083300963044,13.078083300963044,0.0
48,5,15.578800201416016,15.578800201416016,0.0
56,6,18.082386984489858,18.082386984489858,0.0
64,7,20.584371844306588,20.584371844306588,0.0
72,8,23.088599117472768,23.088599117472768,0.0
80,9,25.59397496562451,25.59397496562451,0.0
