samples,step,time/total,time/train,time/val
8,0,3.1652743499726057,3.1652743499726057,0.0
16,1,5.647906438447535,5.647906438447535,0.0
24,2,8.143705237656832,8.143705237656832,0.0
32,3,10.640056763775647,10.640056763775647,0.0
40,4,13.138351913541555,13.138351913541555,0.0
48,5,15.637215880677104,15.637215880677104,0.0
56,6,18.136752838268876,18.136752838268876,0.0
64,7,20.638220778666437,20.638220778666437,0.0
72,8,23.13959353044629,23.13959353044629,0.0
80,9,25.640136825852096,25.640136825852096,0.0
