samples,step,throughput/batches_per_sec,throughput/device/batches_per_sec,throughput/device/flops_per_sec,throughput/device/samples_per_sec,throughput/device/tokens_per_sec,throughput/flops_per_sec,throughput/samples_per_sec,throughput/tokens_per_sec,time/total,time/train,time/val
8,0,,,,,,,,,3.1342873936519027,3.1342873936519027,0.0
16,1,,,,,,,,,5.98539786413312,5.98539786413312,0.0
24,2,,,,,,,,,8.877312838099897,8.877312838099897,0.0
32,3,,,,,,,,,11.774569679051638,11.774569679051638,0.0
40,4,,,,,,,,,14.657921477220953,14.657921477220953,0.0
48,5,,,,,,,,,17.532086717896163,17.532086717896163,0.0
56,6,,,,,,,,,20.437471890822053,20.437471890822053,0.0
64,7,,,,,,,,,23.338754491880536,23.338754491880536,0.0
72,8,,,,,,,,,26.24518953450024,26.24518953450024,0.0
80,9,,,,,,,,,29.138942725025117,29.138942725025117,0.0
88,10,,,,,,,,,32.04827682394534,32.04827682394534,0.0
96,11,,,,,,,,,34.95560209546238,34.95560209546238,0.0
104,12,,,,,,,,,37.91119041759521,37.91119041759521,0.0
112,13,,,,,,,,,40.810071115382016,40.810071115382016,0.0
120,14,,,,,,,,,43.80753409024328,43.80753409024328,0.0
128,15,,,,,,,,,46.72054855991155,46.72054855991155,0.0
136,16,,,,,,,,,49.637376009486616,49.637376009486616,0.0
144,17,,,,,,,,,52.53941448684782,52.53941448684782,0.0
152,18,,,,,,,,,55.45327080599964,55.45327080599964,0.0
160,19,,,,,,,,,58.36895765643567,58.36895765643567,0.0
168,20,,,,,,,,,61.28765353001654,61.28765353001654,0.0
176,21,,,,,,,,,64.1803864184767,64.1803864184767,0.0
184,22,,,,,,,,,67.09191567264497,67.09191567264497,0.0
192,23,,,,,,,,,70.0169741883874,70.0169741883874,0.0
200,24,,,,,,,,,72.92841980513185,72.92841980513185,0.0
208,25,,,,,,,,,75.8372276071459,75.8372276071459,0.0
216,26,,,,,,,,,78.73440034128726,78.73440034128726,0.0
224,27,,,,,,,,,81.62908597104251,81.62908597104251,0.0
232,28,,,,,,,,,84.52827832195908,84.52827832195908,0.0
240,29,,,,,,,,,87.43870968744159,87.43870968744159,0.0
248,30,,,,,,,,,90.3444614186883,90.3444614186883,0.0
256,31,,,,,,,,,93.25696916785091,93.25696916785091,0.0
264,32,,,,,,,,,96.17124271858484,96.17124271858484,0.0
272,33,,,,,,,,,99.08788166474551,99.08788166474551,0.0
280,34,,,,,,,,,101.97667577676475,101.97667577676475,0.0
288,35,,,,,,,,,104.89277705643326,104.89277705643326,0.0
296,36,,,,,,,,,107.8058453463018,107.8058453463018,0.0
304,37,,,,,,,,,110.71759650669992,110.71759650669992,0.0
312,38,,,,,,,,,113.63157855067402,113.63157855067402,0.0
320,39,,,,,,,,,116.60669564362615,116.60669564362615,0.0
328,40,,,,,,,,,119.51671447698027,119.51671447698027,0.0
336,41,,,,,,,,,122.53982472512871,122.53982472512871,0.0
344,42,,,,,,,,,125.44588347058743,125.44588347058743,0.0
352,43,,,,,,,,,128.3616891950369,128.3616891950369,0.0
360,44,,,,,,,,,131.27986011374742,131.27986011374742,0.0
368,45,,,,,,,,,134.17361504863948,134.17361504863948,0.0
376,46,,,,,,,,,137.092938227579,137.092938227579,0.0
384,47,,,,,,,,,140.0185012789443,140.0185012789443,0.0
392,48,,,,,,,,,142.9481093538925,142.9481093538925,0.0
400,49,,,,,,,,,145.86172687541693,145.86172687541693,0.0
408,50,1.0298317960864327,0.3432772653621442,100669616812862.56,2.7462181228971536,5624.254715693371,302008850438587.7,8.238654368691462,16872.764147080114,148.7891414873302,148.7891414873302,0.0
416,51,1.0292683904824302,0.34308946349414343,100614541968134.83,2.7447157079531475,5621.177769888046,301843625904404.5,8.234147123859442,16863.533309664137,151.71998117305338,151.71998117305338,0.0
424,52,1.028996212103172,0.342998737367724,100587935591007.23,2.743989898941792,5619.69131303279,301763806773021.7,8.231969696825375,16859.07393909837,154.65044420212507,154.65044420212507,0.0
432,53,1.0287461840528231,0.34291539468427434,100563494485074.45,2.7433231574741948,5618.325826507151,301690483455223.4,8.229969472422585,16854.977479521454,157.58312996849418,157.58312996849418,0.0
440,54,1.0284126031269343,0.3428042010423114,100530885796827.58,2.7424336083384913,5616.50402987723,301592657390482.75,8.227300825015474,16849.51208963169,160.51377694215626,160.51377694215626,0.0
448,55,1.0281009830368966,0.3427003276789655,100500423856174.25,2.741602621431724,5614.802168692171,301501271568522.75,8.224807864295173,16844.406506076513,163.4321514731273,163.4321514731273,0.0
456,56,1.0278981848863182,0.3426327282954394,100480599636154.38,2.741061826363515,5613.694620392479,301441798908463.1,8.223185479090546,16841.083861177438,166.36632185429335,166.36632185429335,0.0
464,57,1.0276383473803228,0.3425461157934409,100455199622034.05,2.7403689263475273,5612.275561159736,301365598866102.1,8.221106779042582,16836.82668347921,169.30450244434178,169.30450244434178,0.0
472,58,1.0275273355773757,0.34250911185912525,100444347834677.25,2.740072894873002,5611.669288699908,301333043504031.75,8.220218684619006,16835.007866099724,172.2267073066905,172.2267073066905,0.0
480,59,1.0272362544863707,0.3424120848287902,100415893652155.11,2.7392966786303217,5610.079597834899,301247680956465.3,8.217890035890965,16830.238793504697,175.16182630695403,175.16182630695403,0.0
488,60,1.0271810310562794,0.34239367701875983,100410495371030.45,2.7391494161500787,5609.778004275361,301231486113091.4,8.217448248450236,16829.334012826082,178.07901090569794,178.07901090569794,0.0
496,61,1.0270323289620744,0.3423441096540248,100395959227458.5,2.7387528772321983,5608.965892571542,301187877682375.5,8.216258631696595,16826.897677714627,181.00747969467193,181.00747969467193,0.0
504,62,1.0272074328672305,0.34240247762241016,100413076239286.52,2.7392198209792813,5609.922193365568,301239228717859.56,8.217659462937844,16829.766580096704,183.93817114271224,183.93817114271224,0.0
512,63,1.027066223383211,0.3423554077944037,100399272524252.11,2.7388432623552297,5609.15100130351,301197817572756.3,8.216529787065689,16827.45300391053,186.85712882690132,186.85712882690132,0.0
